id	description	en	local
def_13_pyramid_4x4_s_desc		4x4 pyramid-shaped building block. 	4x4 pirâmide em forma de bloco de construção.
def_14_invpyramid_2x2_name		Inverse Pyramid 2x2	Inverse Pyramid 2x2
def_14_invpyramid_2x2_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
def_14_invpyramid_2x2_s_desc		2x2 inverse pyramid-shaped building block.	2x2 inversa bloco de construção em forma de pirâmide.
def_15_invpyramid_2x4_name		Inverse Pyramid 2x4	Inverse Pyramid 2x4
def_15_invpyramid_2x4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
def_15_invpyramid_2x4_s_desc		2x4 inverse pyramid-shaped building block.	2x4 inversa bloco de construção em forma de pirâmide.
def_16_invpyramid_4x4_name		Inverse Pyramid 4x4	Inverse Pyramid 4x4
def_16_invpyramid_4x4_desc		Components can be attached to all faces, with the exception of the triangular face. Pyramids can act as a corner-piece for perpendicular lines of wedge blocks.	Os componentes podem ser anexado a todas as faces, com exceção do rosto triangular. Pirâmides podem agir como um canto peça para linhas perpendiculares de blocos de cunha.
def_16_invpyramid_4x4_s_desc		4x4 inverse pyramid-shaped building block.	4x4 inversa bloco de construção piramidal.
def_aircraft_engine_name		Medium Engine	médio Motor
def_aircraft_engine_desc		An on/off signal controls engine operation and throttle signal controls energy output.	Uma on / off funcionamento do motor controles de sinal e de produção de energia controles de sinal do acelerador.
def_aircraft_engine_s_desc		Medium diesel engine that can be connected to powered components.	motor diesel meio que pode ser ligado a componentes energizados.
def_aircraft_engine_node_0_label		Throttle	regulador de pressão
def_aircraft_engine_node_0_desc		Standard value between -1 and 1 that controls the forward/backward throttle of the engine.	valor padrão entre -1 e um que controla a frente do acelerador / para trás do motor.
def_aircraft_engine_node_1_label		Engine On/Off	Motor On / Off
def_aircraft_engine_node_1_desc		Controls whether or not the engine is producing any power.	Controla se ou não o motor está produzindo qualquer poder.
def_aircraft_engine_node_2_label		Power	Poder
def_aircraft_engine_node_2_desc		The power supplied by the engine for inputting to other components.	A potência fornecida pelo motor para introduzir a outros componentes.
def_aircraft_engine_node_3_label		Fuel	Combustível
def_aircraft_engine_node_3_desc		The fuel supply for the engine.	O fornecimento de combustível para o motor.
def_aircraft_engine_node_4_label		Air	Ar
def_aircraft_engine_node_4_desc		The air supply for the engine.	O fornecimento de ar para o motor.
def_aircraft_engine_node_5_label		Coolant In	Refrigerante Em
def_aircraft_engine_node_5_desc		The return flow (cold) for the coolant system.	O fluxo de retorno (frio) para o sistema de refrigeração.
def_aircraft_engine_node_6_label		Coolant Out	Refrigerante Fora
def_aircraft_engine_node_6_desc		The output flow (hot) for the coolant system.	O fluxo de saída (a quente) para o sistema de refrigeração.
def_aircraft_engine_node_7_label		Exhaust	Escape
def_aircraft_engine_node_7_desc		Out flow for combusted fumes from the engine.	Fora fluxo de fumos queimados do motor.
def_aircraft_engine_node_8_label		Exhaust	Escape
def_aircraft_engine_node_8_desc		Out flow for combusted fumes from the engine.	Fora fluxo de fumos queimados do motor.
def_aircraft_engine_node_9_label		Rotations Per Second	Rotações por segundo
def_aircraft_engine_node_9_desc		Output value giving data info on engine speed.	valor de saída dando informações de dados sobre a velocidade do motor.
def_aircraft_engine_node_10_label		Temperature	Temperatura
def_aircraft_engine_node_10_desc		Output value giving data info on engine temperature.	valor de saída dando informações de dados sobre a temperatura do motor.
def_aircraft_engine_node_11_label		Electric	Elétrico
def_aircraft_engine_node_11_desc		Electrical power connection.	conexão de energia elétrica.
def_aircraft_propeller_name		Aircraft Propeller	aviões da hélice
def_aircraft_propeller_desc		The amount of thrust produced is directly linked to how much torque it receives from a connected engine.	A quantidade de impulso produzido está directamente ligado com a quantidade de binário que recebe de um motor conectado.
def_aircraft_propeller_s_desc		A large propeller that can be used to generate thrust.	Uma hélice de grandes dimensões que pode ser utilizado para gerar um impulso.
def_aircraft_propeller_node_0_label		Power Received	potência recebida
def_aircraft_propeller_node_0_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_aircraft_propeller_node_1_label		Collective	coletivo
def_aircraft_propeller_node_1_desc		Standard value between -1 and 1 representing the desired pitch amount.	valor padrão entre -1 e 1 representando a quantidade passo desejado.
def_altimeter_name		Altimeter	Altímetro
def_altimeter_desc		Outputs distance above sea-level in meters.	distância saídas acima do nível do mar em metros.
def_altimeter_s_desc		An altitude sensor.	Um sensor de altitude.
def_altimeter_node_0_label		Altitude	Altitude
def_altimeter_node_0_desc		The measured altitude of the component in metres above sea-level.	A altitude medida do componente em metros acima do nível do mar.
def_angular_speed_sensor_name		Angular Speed Sensor	Angular Sensor de Velocidade
def_angular_speed_sensor_desc		This sensor outputs the angular speed of the component about the component's y axis.	Este sensor emite a velocidade angular do componente em torno do eixo y do componente.
def_angular_speed_sensor_s_desc		This sensor outputs its current angular speed in rotations per second, allowing you to measure how fast your vehicle is rotating.	Este sensor transmite sua velocidade angular atual em rotações por segundo, o que lhe permite medir o quão rápido o seu veículo está girando.
def_angular_speed_sensor_node_0_label		Angular Speed	velocidade angular
def_angular_speed_sensor_node_0_desc		The sensor's angular speed in rotations per second.	A velocidade angular do sensor em rotações por segundo.
def_artificial_horizon_name		Artificial Horizon	Horizon artificial
def_artificial_horizon_desc		The horizon ball rotates up and down as your vehicle's pitch changes, and the central line gives an indication of your vehicle's roll. This is a useful component to have in your helicopter to make it easier to fly at night and in thick fog. An on/off signal can be used to toggle the backlight.	A bola horizonte gira cima e para baixo como mudanças de afinação do seu veículo e a linha central dá uma indicação do rolo do seu veículo. Este é um componente útil para ter em seu helicóptero para torná-lo mais fácil de voar à noite e na névoa grossa. Uma on / off sinal pode ser usado para alternar a luz de fundo.
def_artificial_horizon_s_desc		The artificial horizon shows you the orientation of your vehicle with respect to the horizon line.	O horizonte mostra artificiais lhe a orientação do seu veículo no que diz respeito à linha do horizonte.
def_artificial_horizon_node_0_label		Backlight	Backlight
def_artificial_horizon_node_0_desc		Enables the backlight when receiving an on signal.	Permite que a luz de fundo ao receber uma em sinal.
def_artificial_horizon_node_1_label		Electric	Elétrico
def_artificial_horizon_node_1_desc		Electrical power connection.	conexão de energia elétrica.
def_azimuth_thruster_name		Azimuth Thruster	azimuth Thruster
def_azimuth_thruster_desc		The thruster can be attached to a robotic pivot to provide steering as well as propulsion. This propeller will only operate underwater.	O propulsor pode estar ligado a um pivô robótico para fornecer direcção, bem como de propulsão. Esta hélice única irá operar debaixo de água.
def_azimuth_thruster_s_desc		An azimuth thruster for boats.	Um propulsor azimutal para barcos.
def_azimuth_thruster_node_0_label		Power	Poder
def_azimuth_thruster_node_0_desc		Receives power generated by an engine.	Recebe a energia gerada por um motor.
def_battery_large_name		Electric Battery Large	Bateria elétrica Grande
def_battery_large_desc			#VALOR!
def_battery_large_s_desc		A large battery array for storing electrical charge.	Uma matriz de bateria grande para armazenar carga eléctrica.
def_battery_large_node_0_label		Electric Store	loja elétrica
def_battery_large_node_0_desc		Energy storage for the electrical system.	armazenamento de energia para o sistema elétrico.
def_battery_large_node_1_label		Charge	Carregar
def_battery_large_node_1_desc		Data output giving the charge of the battery from 0 to 1.	saída de dados dando a carga da bateria 0-1.
def_battery_medium_name		Electric Battery Medium	Elétrica Médio Bateria
def_battery_medium_desc			#VALOR!
def_battery_medium_s_desc		A medium battery for storing electrical charge.	Uma bateria de meio de armazenamento de carga eléctrica.
def_battery_medium_node_0_label		Electric Store	loja elétrica
def_battery_medium_node_0_desc		Energy storage for the electrical system.	armazenamento de energia para o sistema elétrico.
def_battery_medium_node_1_label		Charge	Carregar
def_battery_medium_node_1_desc		Data output giving the charge of the battery from 0 to 1.	saída de dados dando a carga da bateria 0-1.
def_battery_small_name		Electric Battery Small	Bateria elétrico pequeno
def_battery_small_desc			#VALOR!
def_battery_small_s_desc		A small battery for storing electrical charge.	Uma pequena bateria para armazenar carga elétrica.
def_battery_small_node_0_label		Electric Store	loja elétrica
def_battery_small_node_0_desc		Energy storage for the electrical system.	armazenamento de energia para o sistema elétrico.
def_battery_small_node_1_label		Charge	Carregar
def_battery_small_node_1_desc		Data output giving the charge of the battery from 0 to 1.	saída de dados dando a carga da bateria 0-1.
def_button_key_name		Key Button	Botão chave
def_button_key_desc		Once activated, pressing the button again will deactivate it instantly. The hold duration can be customised by selecting this component with the select tool. The external input can be used to simulate holding the button down using the output of another component. The button's default state can be configured by selecting it with the select component.	Uma vez ativado, pressionar o botão novamente irá desativá-lo instantaneamente. A duração espera pode ser personalizado selecionando este componente com a ferramenta de seleção. A entrada externa pode ser usado para simular, segurando o botão para baixo, usando a saída de um outro componente. estado padrão do botão pode ser configurado selecionando-o com o componente de seleção.
def_button_key_s_desc		A button that must be held down for a set duration before activating.	Um botão que deve ser pressionado por um período fixo antes de ativar.
def_button_key_node_0_label		Activated	ativado
def_button_key_node_0_desc		Outputs an on signal when [e] has been held on the button for the set duration.	Saídas um no sinal quando [e] foi realizada no botão para a duração definida.
def_button_key_node_1_label		External Input	Entrada externa
def_button_key_node_1_desc		Allows an external on/off signal to hold the button down.	Permite que um em externa / off sinal para segurar o botão para baixo.
def_button_key_node_2_label		Electric	Elétrico
def_button_key_node_2_desc		Electrical power connection.	conexão de energia elétrica.
def_button_keypad_large_name		Large Keypad	Grande Keypad
def_button_keypad_large_desc		Pressing the keypad will show a menu where the 2 numbers can be entered, along with a button for quickly inputting waypoint coordinates. A short pulse will be emitted from the keypad's pulse node when the confirm button is clicked and the stored numbers will be continuously output from the other output nodes. An on/off signal controls whether or not the keypad's backlight is enabled.	Pressionando o teclado irá mostrar um menu onde os 2 podem ser introduzidos números, juntamente com um botão para introduzir rapidamente as coordenadas dos pontos de passagem. Um pulso curto será emitido a partir do nó de pulso do teclado quando o botão de confirmação é clicado e os números armazenados será continuamente a saída dos outros nós de saída. Uma on / off controles de sinal ou não luz de fundo do teclado está ativado.
def_button_keypad_large_s_desc		A keypad that allows 2 numbers to be input.	Um teclado que permite números 2 a ser entrada.
def_button_keypad_large_node_0_label		Output A	saída A
